X,Y,FID,solmutunnu,linjoja,lyhyt_nro,nimi_s,nimi_r,nousijat,nettiosoit,P_koord,I_koord
24.984284839702489,60.294171328968176,8378,4680249,5,V6849,Köyhämäki,Fattigbacka,23,http://aikataulut.hsl.fi/pysakit/fi/4680249.html,6687394,2554612
25.055883885666013,60.353267252544569,8379,4810209,5,V8109,Viklotie,Snäppvägen,48,http://aikataulut.hsl.fi/pysakit/fi/4810209.html,6694039,2558466
24.9750155752625,60.26951097728476,8380,4500212,0,V5012,Kirkonkylänpolku,Kyrkobystigen,0,http://aikataulut.hsl.fi/pysakit/fi/4500212.html,6684639,2554140
25.067841436952481,60.310051211455409,8381,4740211,2,V7411,Rosenlundintie,Rosenlundsvägen,3,http://aikataulut.hsl.fi/pysakit/fi/4740211.html,6689235,2559204
24.976569564573627,60.305295536821966,8382,4530214,4,V5314,Liikelentotie,Affärsflygvägen,19,http://aikataulut.hsl.fi/pysakit/fi/4530214.html,6688627,2554167
24.983188569575056,60.294394913271532,8383,4680250,5,V6850,Köyhämäki,Fattigbacka,32,http://aikataulut.hsl.fi/pysakit/fi/4680250.html,6687418,2554551
25.066427631001762,60.35160341056811,8384,4810210,2,V8110,Riekkotie,Dalripsvägen,22,http://aikataulut.hsl.fi/pysakit/fi/4810210.html,6693863,2559051
25.071037651963469,60.312628606508596,8385,4740212,2,V7412,Hanatie,Hanavägen,0,http://aikataulut.hsl.fi/pysakit/fi/4740212.html,6689525,2559376
24.973606823353197,60.265275705535544,8386,4500213,3,V5013,Tapaninkyläntie,Staffansbyvägen,12,http://aikataulut.hsl.fi/pysakit/fi/4500213.html,6684166,2554069
24.976172649049531,60.304724042577952,8387,4530215,4,V5315,Liikelentotie,Affärsflygvägen,21,http://aikataulut.hsl.fi/pysakit/fi/4530215.html,6688563,2554146
24.983446072506606,60.286108222690373,8388,4680251,5,V6851,Kirkonkylän etl.,Kyrkbyns ansl.,5,http://aikataulut.hsl.fi/pysakit/fi/4680251.html,6686495,2554579
25.067664276871582,60.350642094745929,8389,4810211,2,V8111,Riekkotie,Dalripsvägen,91,http://aikataulut.hsl.fi/pysakit/fi/4810211.html,6693757,2559121
25.063878742114017,60.325620485539886,8390,4740213,1,V7413,Suomantie,Suomavägen,20,http://aikataulut.hsl.fi/pysakit/fi/4740213.html,6690966,2558957
24.970295605851462,60.279149813891053,8391,4500214,3,V5014,Tammistonkuja,Tammistogränden,66,http://aikataulut.hsl.fi/pysakit/fi/4500214.html,6685709,2553863
24.973709549673988,60.30826962652317,8392,4530216,0,V5316,Ilmailulaitos,Luftfartsverket,4,http://aikataulut.hsl.fi/pysakit/fi/4530216.html,6688956,2554004
25.062199559166796,60.320732971521707,8393,4740214,5,V7414,Havukallionkatu,Högbergsgatan,39,http://aikataulut.hsl.fi/pysakit/fi/4740214.html,6690420,2558873
25.06625879794338,60.34532158826039,8394,4810212,2,V8112,Kulomäen koulu,Kulomäen koulu,2,http://aikataulut.hsl.fi/pysakit/fi/4810212.html,6693163,2559053
24.976995904676375,60.286846919142477,8395,4680252,5,V6852,Kirkonkylän etl.,Kyrkbyns ansl.,10,http://aikataulut.hsl.fi/pysakit/fi/4680252.html,6686572,2554221
24.968990635052528,60.269860307103642,8396,4500215,0,V5015,Rosendalinrinki,Rosendalsringen,0,http://aikataulut.hsl.fi/pysakit/fi/4500215.html,6684673,2553806
25.061402851483063,60.321277925212136,8397,4740215,5,V7415,Havukallionkatu,Högbergsgatan,91,http://aikataulut.hsl.fi/pysakit/fi/4740215.html,6690480,2558828
25.067375815638631,60.345142140003148,8398,4810213,2,V8113,Kulomäen koulu,Kulomäen koulu,149,http://aikataulut.hsl.fi/pysakit/fi/4810213.html,6693144,2559115
24.956606175308568,60.31049406636312,8399,4530217,0,V5317,Tekninen alue,Tekn. omr.,0,http://aikataulut.hsl.fi/pysakit/fi/4530217.html,6689190,2553055
24.976200328922232,60.288665955548346,8400,4680253,2,V6853,Kirkonkylän etl.,Kyrkbyns ansl.,44,http://aikataulut.hsl.fi/pysakit/fi/4680253.html,6686774,2554174
24.962000813290445,60.273662995601974,8401,4500216,2,V5016,Koetilankatu,Försöksgårdsgatan,73,http://aikataulut.hsl.fi/pysakit/fi/4500216.html,6685091,2553413
25.063589307282115,60.323396694269498,8402,4740216,8,V7416,Rautkallionkatu,Rautbergsgatan,267,http://aikataulut.hsl.fi/pysakit/fi/4740216.html,6690718,2558945
25.063486624239861,60.344733447829235,8403,4810214,2,V8114,Maauuninkuja,Ryssugnsgränden,2,http://aikataulut.hsl.fi/pysakit/fi/4810214.html,6693095,2558901
24.959094031916905,60.302783863130507,8404,4530218,0,V,Veromiehen teoll.al.,Skattmans ind.omr.,5,http://aikataulut.hsl.fi/pysakit/fi/4530218.html,6688333,2553205
24.961638655510445,60.273019383002463,8405,4500217,2,V5017,Koetilankatu,Försöksgårdsgatan,168,http://aikataulut.hsl.fi/pysakit/fi/4500217.html,6685019,2553394
25.062536226417784,60.323297464623387,8406,4740217,8,V7417,Rautkallionkatu,Rautbergsgatan,111,http://aikataulut.hsl.fi/pysakit/fi/4740217.html,6690706,2558887
24.978496033927687,60.288649074462654,8407,4680254,2,V6854,Kirkonkylän etl.,Kyrkbyns ansl.,30,http://aikataulut.hsl.fi/pysakit/fi/4680254.html,6686774,2554301
25.063826082096089,60.344030628414721,8408,4810215,2,V8115,Maauuninkuja,Ryssugnsgränden,214,http://aikataulut.hsl.fi/pysakit/fi/4810215.html,6693017,2558921
25.065841587138223,60.324752036163297,8409,4740218,7,V7418,Rasinkatu,Brakgatan,111,http://aikataulut.hsl.fi/pysakit/fi/4740218.html,6690871,2559067
24.959093693759485,60.30462389121039,8410,4530219,0,V,Mekaanikontie,Mekanikervägen,23,http://aikataulut.hsl.fi/pysakit/fi/4530219.html,6688538,2553202
24.965062435976151,60.269619559027049,8411,4500218,2,V5018,Säterinpolku,Säterstigen,108,http://aikataulut.hsl.fi/pysakit/fi/4500218.html,6684643,2553589
24.995834509343297,60.295772807201381,8412,4680255,0,V6855,Niittytie 25,Ängsvägen 25,0,http://aikataulut.hsl.fi/pysakit/fi/4680255.html,6687582,2555248
25.058431769856469,60.346353523006357,8413,4810216,2,V8116,Laulurastaantie,Taltrastvägen,182,http://aikataulut.hsl.fi/pysakit/fi/4810216.html,6693271,2558619
25.067296818692526,60.324973706173246,8414,4740219,7,V7419,Rasinkatu,Brakgatan,33,http://aikataulut.hsl.fi/pysakit/fi/4740219.html,6690897,2559147
24.961335352028012,60.305810474713113,8415,4530220,0,V,Mekaanikontie,Mekanikervägen,4,http://aikataulut.hsl.fi/pysakit/fi/4530220.html,6688672,2553324
24.965440368089137,60.268952622445916,8416,4500219,2,V5019,Säterinkatu,Sätersgatan,251,http://aikataulut.hsl.fi/pysakit/fi/4500219.html,6684569,2553611
25.055817305134742,60.346158910971276,8417,4810217,2,V8117,Laulurastaanpolku,Taltraststigen,81,http://aikataulut.hsl.fi/pysakit/fi/4810217.html,6693247,2558475
